Script started on 2026-06-01 21:04:17+08:00 [<not executed on terminal>]
============================================================
训练配置 - 方案A (卷积+池化+分组池化)
============================================================
量子比特数: 8
Ansatz层数: 8
参数数量: 120
训练轮数: 40
批次大小: 50
学习率: 0.001
============================================================

加载并预处理数据...
训练样本数: 1000
预处理后数据维度: 8
标签分布: 0(数字4): 473, 1(数字9): 527
数据范围: [0.4924, 1.4732]

开始训练...
============================================================
训练样本数: 1000
[542秒] 样本 438/1000, 损失: 0.7137
[543秒] 样本 439/1000, 损失: 0.7137
[544秒] 样本 440/1000, 损失: 0.7137
[545秒] 样本 441/1000, 损失: 0.7137
[547秒] 样本 442/1000, 损失: 0.0241
[548秒] 样本 443/1000, 损失: 0.0241
[549秒] 样本 444/1000, 损失: 0.7137
[550秒] 样本 445/1000, 损失: 0.7137
[551秒] 样本 446/1000, 损失: 0.7137
[552秒] 样本 447/1000, 损失: 0.0241
[553秒] 样本 448/1000, 损失: 0.7137
[555秒] 样本 449/1000, 损失: 0.7137
[556秒] 样本 450/1000, 损失: 0.7137
[557秒] 样本 451/1000, 损失: 0.7186
[558秒] 样本 452/1000, 损失: 0.0232
[559秒] 样本 453/1000, 损失: 0.0232
[560秒] 样本 454/1000, 损失: 0.7186
[561秒] 样本 455/1000, 损失: 0.7050
[562秒] 样本 456/1000, 损失: 0.0234
[563秒] 样本 457/1000, 损失: 0.7186
[565秒] 样本 458/1000, 损失: 0.7186
[567秒] 样本 459/1000, 损失: 0.0400
[568秒] 样本 460/1000, 损失: 0.7186
[569秒] 样本 461/1000, 损失: 0.0232
[570秒] 样本 462/1000, 损失: 0.0232
[571秒] 样本 463/1000, 损失: 0.7186
[572秒] 样本 464/1000, 损失: 0.7180
[573秒] 样本 465/1000, 损失: 0.0232
[575秒] 样本 466/1000, 损失: 0.0232
[576秒] 样本 467/1000, 损失: 0.7186
[577秒] 样本 468/1000, 损失: 0.7186
[578秒] 样本 469/1000, 损失: 0.0232
[579秒] 样本 470/1000, 损失: 0.0232
[581秒] 样本 471/1000, 损失: 0.0232
[582秒] 样本 472/1000, 损失: 0.7186
[583秒] 样本 473/1000, 损失: 0.7176
[584秒] 样本 474/1000, 损失: 0.7186
[585秒] 样本 475/1000, 损失: 0.0232
[587秒] 样本 476/1000, 损失: 0.0232
[588秒] 样本 477/1000, 损失: 0.7186
[589秒] 样本 478/1000, 损失: 0.7186
[590秒] 样本 479/1000, 损失: 0.7186
[591秒] 样本 480/1000, 损失: 0.7186
[592秒] 样本 481/1000, 损失: 0.7186
[593秒] 样本 482/1000, 损失: 0.7186
[595秒] 样本 483/1000, 损失: 0.0232
[596秒] 样本 484/1000, 损失: 0.7186
[597秒] 样本 485/1000, 损失: 0.0232
[598秒] 样本 486/1000, 损失: 0.0232
[600秒] 样本 487/1000, 损失: 0.7186
[601秒] 样本 488/1000, 损失: 0.0232
[602秒] 样本 489/1000, 损失: 0.0232
[604秒] 样本 490/1000, 损失: 0.7186
[605秒] 样本 491/1000, 损失: 0.7186
[607秒] 样本 492/1000, 损失: 0.7186
[608秒] 样本 493/1000, 损失: 0.0232
[609秒] 样本 494/1000, 损失: 0.0232
[610秒] 样本 495/1000, 损失: 0.0243
[611秒] 样本 496/1000, 损失: 0.0232
[613秒] 样本 497/1000, 损失: 0.0232
[614秒] 样本 498/1000, 损失: 0.7186
[615秒] 样本 499/1000, 损失: 0.7186
[617秒] 样本 500/1000, 损失: 0.7186
[618秒] 样本 501/1000, 损失: 0.0223
[619秒] 样本 502/1000, 损失: 0.0223
[620秒] 样本 503/1000, 损失: 0.7235
[621秒] 样本 504/1000, 损失: 0.0223
[623秒] 样本 505/1000, 损失: 0.0223
[624秒] 样本 506/1000, 损失: 0.0223
[626秒] 样本 507/1000, 损失: 0.0223
[627秒] 样本 508/1000, 损失: 0.0223
[628秒] 样本 509/1000, 损失: 0.7235
[630秒] 样本 510/1000, 损失: 0.0223
[631秒] 样本 511/1000, 损失: 0.7235
[632秒] 样本 512/1000, 损失: 0.0223
[634秒] 样本 513/1000, 损失: 0.0223
[635秒] 样本 514/1000, 损失: 0.7235
[637秒] 样本 515/1000, 损失: 0.7109
[638秒] 样本 516/1000, 损失: 0.7235
[639秒] 样本 517/1000, 损失: 0.0223
[641秒] 样本 518/1000, 损失: 0.7235
[642秒] 样本 519/1000, 损失: 0.0223
[643秒] 样本 520/1000, 损失: 0.7235
[645秒] 样本 521/1000, 损失: 0.0223
[646秒] 样本 522/1000, 损失: 0.0223
[647秒] 样本 523/1000, 损失: 0.7217
[649秒] 样本 524/1000, 损失: 0.0223
[650秒] 样本 525/1000, 损失: 0.7235
[652秒] 样本 526/1000, 损失: 0.7235
[653秒] 样本 527/1000, 损失: 0.7235
[654秒] 样本 528/1000, 损失: 0.7235
[656秒] 样本 529/1000, 损失: 0.0223
[657秒] 样本 530/1000, 损失: 0.0223
[658秒] 样本 531/1000, 损失: 0.0223
[659秒] 样本 532/1000, 损失: 0.0223
[661秒] 样本 533/1000, 损失: 0.7235
[662秒] 样本 534/1000, 损失: 0.7235
[663秒] 样本 535/1000, 损失: 0.7235
[665秒] 样本 536/1000, 损失: 0.7235
